{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Hydro_dam;Hydro_river;Solar
123;8.68072E-05;0.000220494;1.17484E-06;0.000114155;0;0.814939281;0.195533407;0.356005302;0
124;8.42473E-05;0.000221394;1.40981E-05;0.000114155;0;0.747025835;0.196649843;0.35597667;0
125;7.97074E-05;0.000242794;3.75949E-05;0.000114155;0;0.747025835;0.197758009;0.35597667;0
126;7.90275E-05;0.000251293;9.39872E-05;0.000114155;0;0.848896004;0.198874445;0.35597667;0
127;7.92774E-05;0.000217394;0.0001821;0.000114155;0;0.848896004;0.199990881;0.35597667;0
128;8.27173E-05;0.000173195;0.000158603;0.000114155;0;0.848896004;0.201090777;0.355948039;0
129;8.84972E-05;0.000165396;0.000146855;0.000114155;0.017548419;0.848896004;0.202207213;0.355948039;0
130;9.59969E-05;0.000155996;0.000164478;0.000114155;0.096516305;0.843190568;0.203315379;0.355948039;0
131;0.000101197;0.000139496;0.000187974;0.000114155;0.078967886;0.843190568;0.204431815;0.355948039;0.022581553
132;0.000104997;0.000130797;0.000206772;0.000114155;0.070193676;0.848896004;0.205531711;0.355928951;0.029001867
133;0.000106997;0.000157796;0.000187974;0.000114155;0.043871048;0.848896004;0.206648147;0.355928951;0.044487389
134;0.000106597;0.000133496;0.000190324;0.000114155;0.061419467;0.848896004;0.207764582;0.355928951;0.027076673
135;0.000102297;0.000146196;0.000213821;0.000114155;0.026322629;0.848896004;0.208872748;0.355928951;0.013022552
136;0.000101197;0.000147096;0.00022322;0.000114155;0.00877421;0.848896004;0.209989184;0.355900319;0
137;0.000105597;0.000157796;0.00022322;0.000114155;0;0.848896004;0.21108908;0.355900319;0
138;0.000119996;0.000159196;0.000164478;0.000114155;0;0.882852727;0.212205516;0.355900319;0
139;0.000125096;0.000143896;0.000117484;0.000114155;0;0.869058153;0.213321952;0.355900319;0
140;0.000121296;0.000144396;8.8113E-05;0.000114155;0;0.853674444;0.214430118;0.355881232;0
141;0.000114196;0.000150596;5.8742E-05;0.000114155;0;0.847571725;0.215546554;0.355881232;0
142;0.000107497;0.000188695;3.75949E-05;0.000114155;0;0.855660863;0.21664645;0.355881232;0
143;0.000102297;0.000226794;2.34968E-05;0.000114155;0;0.839019089;0.217762886;0.355881232;0
144;9.11871E-05;0.000283793;9.39872E-06;0.000114155;0;0.833777151;0.218871052;0.3558526;0
145;8.73472E-05;0.000293392;5.8742E-06;0.000114155;0;0.824021628;0.063432579;0.3558526;0
146;8.38873E-05;0.000301292;2.34968E-06;0.000114155;0;0.786820421;0.064544053;0.3558526;0
147;8.64572E-05;0.000253593;1.17484E-06;0.000114155;0;0.723817844;0.065655527;0.3558526;0
148;8.61072E-05;0.000253993;1.40981E-05;0.000114155;0;0.658828847;0.066766174;0.355823969;0
149;8.41473E-05;0.000281193;3.75949E-05;0.000114155;0;0.583951901;0.067877648;0.355823969;0
150;9.2927E-05;0.000290492;9.39872E-05;0.000114155;0;0.518024873;0.068989121;0.355823969;0
151;0.000111796;0.000254093;0.0001821;0.000114155;0;0.444604633;0.070099768;0.355823969;0
152;0.000132796;0.000205295;0.000158603;0.000114155;0;0.434992574;0.071211242;0.355804881;0
153;0.000142795;0.000196295;0.000146855;0.000114155;0.00877421;0.447529083;0.072321889;0.355804881;0
154;0.000145295;0.000186195;0.000164478;0.000114155;0.052645257;0.319195403;0.073433363;0.355804881;0
155;0.000148595;0.000167396;0.000187974;0.000114155;0.061419467;0.179064604;0.074544837;0.355804881;0
156;0.000151095;0.000154996;0.000206772;0.000114155;0.052645257;0.157247106;0.075656311;0.355776249;0.021270102
157;0.000142795;0.000181495;0.000187974;0.000114155;0.070193676;0.2370901;0.076767785;0.355776249;0.02918679
158;0.000145095;0.000151596;0.000190324;0.000114155;0.052645257;0.278606249;0.077877605;0.355776249;0
159;0.000142295;0.000164596;0.000213821;0.000114155;0.035096838;0.381668269;0.078989079;0.355776249;0
160;0.000141295;0.000164596;0.00022322;0.000114155;0.017548419;0.539643729;0.080100553;0.355757161;0
161;0.000142895;0.000170296;0.00022322;0.000114155;0;0.586997742;0.081212027;0.355757161;0
162;0.000148895;0.000164096;0.000164478;0.000114155;0;0.641911182;0.082323501;0.355757161;0
163;0.000149895;0.000145396;0.000117484;0.000114155;0;0.67712597;0.083434975;0.355757161;0
164;0.000142395;0.000146296;8.8113E-05;0.000114155;0;0.710685409;0.084543141;0.35572853;0
165;0.000132596;0.000149096;5.8742E-05;0.000114155;0;0.709096275;0.085659577;0.35572853;0
166;0.000123096;0.000188695;3.75949E-05;0.000114155;0;0.713940929;0.086767743;0.35572853;0
167;0.000116296;0.000230794;2.34968E-05;0.000114155;0;0.723619202;0.087875909;0.35572853;0
168;0.000103397;0.000291992;9.39872E-06;0.000114155;0;0.773687987;0.088992345;0.355699898;0
169;0.000105597;0.000226694;5.8742E-06;0.000114155;0;0.797502939;0.09010051;0.355699898;0
170;0.000100497;0.000268893;2.34968E-06;0.000114155;0;0.798694791;0.091208676;0.355699898;0
171;9.88368E-05;0.000260393;1.17484E-06;0.000114155;0;0.824154056;0.092325112;0.355699898;0
172;9.84268E-05;0.000235194;1.40981E-05;0.000114155;0;0.804731296;0.093433278;0.355680811;0
173;9.94468E-05;0.000199395;3.75949E-05;0.000114155;0;0.766393417;0.094541444;0.355680811;0
174;0.000102397;0.000252093;9.39872E-05;0.000114155;0;0.738605627;0.09565788;0.355680811;0
175;0.000120296;0.000201595;0.0001821;0.000114155;0;0.732966405;0.096766046;0.355680811;0
176;0.000135796;0.000212494;0.000158603;0.000114155;0;0.727735503;0.097882482;0.355652179;0
177;0.000145795;0.000205095;0.000146855;0.000114155;0.00877421;0.715198994;0.098990648;0.355652179;0
178;0.000144695;0.000208195;0.000164478;0.000114155;0.052645257;0.660616624;0.100098814;0.355652179;0
179;0.000146395;0.000198595;0.000187974;0.000114155;0.078967886;0.612534258;0.10121525;0.355652179;0.049678218
180;0.000148795;0.000174195;0.000206772;0.000114155;0.087742096;0.631570769;0.102323416;0.355633091;0.114861949
181;0.000140895;0.000180895;0.000187974;0.000114155;0.087742096;0.630765166;0.103431582;0.355633091;0.142460403
182;0.000141495;0.000157496;0.000190324;0.000114155;0.078967886;0.631173486;0.104548018;0.355633091;0.113562492
183;0.000138196;0.000162396;0.000213821;0.000114155;0.026322629;0.646490981;0.105656184;0.355633091;0.068623292
184;0.000134096;0.000189495;0.00022322;0.000114155;0.00877421;0.623801665;0.10677262;0.35560446;0
185;0.000132896;0.000229794;0.00022322;0.000114155;0;0.626196404;0.107880786;0.35560446;0
186;0.000144595;0.000190395;0.000164478;0.000114155;0;0.665317815;0.108988952;0.35560446;0
187;0.000147095;0.000182495;0.000117484;0.000114155;0;0.705178616;0.110105387;0.35560446;0
188;0.000141795;0.000171695;8.8113E-05;0.000114155;0;0.74065826;0.111213553;0.355575828;0
189;0.000131396;0.000183195;5.8742E-05;0.000114155;0;0.705906969;0.112321719;0.355575828;0
190;0.000117496;0.000277393;3.75949E-05;0.000114155;0;0.68289762;0.113438155;0.355575828;0
191;0.000116396;0.000253293;2.34968E-05;0.000114155;0;0.673616631;0.114546321;0.355575828;0
192;0.000103197;0.000327491;9.39872E-06;0.000114155;0;0.652328844;0.115662757;0.355575828;0
193;0.000100397;0.000319392;5.8742E-06;0.000114155;0;0.657493533;0.116448397;0.35555674;0
194;9.50269E-05;0.00036669;2.34968E-06;0.000114155;0;0.663927322;0.116696494;0.35555674;0
195;9.58269E-05;0.000327791;1.17484E-06;0.000114155;0;0.691781325;0.116944591;0.35555674;0
196;9.55469E-05;0.000297992;1.40981E-05;0.000114155;0;0.722890848;0.117200958;0.35555674;0
197;9.65569E-05;0.000259293;3.75949E-05;0.000114155;0;0.72049611;0.117440785;0.355528109;0
198;0.000108896;0.000196095;9.39872E-05;0.000114155;0;0.666454488;0.117688882;0.355528109;0
199;0.000123296;0.000190695;0.0001821;0.000114155;0;0.610415411;0.117936978;0.355528109;0
200;0.000137996;0.000214294;0.000158603;0.000114155;0;0.567232877;0.118193345;0.355528109;0
201;0.000144895;0.000238894;0.000146855;0.000114155;0.017548419;0.506547788;0.118433172;0.355509021;0
202;0.000146795;0.000226894;0.000164478;0.000114155;0.122838934;0.422522279;0.118681269;0.355509021;0
203;0.000147495;0.000211694;0.000187974;0.000114155;0.149161563;0.334115614;0.118937636;0.355509021;0
204;0.000148995;0.000204895;0.000206772;0.000114155;0.166709982;0.319592687;0.119185733;0.355509021;0.020965229
205;0.000143395;0.000216294;0.000187974;0.000114155;0.131613143;0.294464491;0.11942556;0.355480389;0.035452169
206;0.000142495;0.000219794;0.000190324;0.000114155;0.096516305;0.232653765;0.119673656;0.355480389;0.034484574
207;0.000136596;0.000256493;0.000213821;0.000114155;0.052645257;0.233448332;0.119930023;0.355480389;0
208;0.000135696;0.000256493;0.00022322;0.000114155;0.017548419;0.248037474;0.12017812;0.355480389;0
209;0.000135796;0.000264293;0.00022322;0.000114155;0;0.240146977;0.120417947;0.355451758;0
210;0.000147295;0.000216994;0.000164478;0.000114155;0;0.265208959;0.120666044;0.355451758;0
211;0.000149895;0.000192095;0.000117484;0.000114155;0;0.304341406;0.120922411;0.355451758;0
212;0.000145595;0.000162896;8.8113E-05;0.000114155;0;0.306725109;0.121170508;0.355451758;0
213;0.000131296;0.000219594;5.8742E-05;0.000114155;0;0.340218334;0.121410335;0.35543267;0
214;0.000120296;0.000262493;3.75949E-05;0.000114155;0;0.394204778;0.121666701;0.35543267;0
215;0.000120996;0.000225294;2.34968E-05;0.000114155;0;0.453896658;0.121914798;0.35543267;0
216;0.000103597;0.000338391;9.39872E-06;0.000114155;0;0.471200572;0.122162895;0.35543267;0
217;9.87668E-05;0.00036589;5.8742E-06;0.000114155;0;0.472469672;0.122402722;0.355356319;0
218;9.64069E-05;0.00037559;2.34968E-06;0.000114155;0;0.45760464;0.122659089;0.355203617;0
219;9.82168E-05;0.000315392;1.17484E-06;0.000114155;0;0.448389864;0.122907186;0.355031828;0
220;9.51369E-05;0.000309592;1.40981E-05;0.000114155;0;0.417821089;0.123155282;0.35488867;0
221;8.91771E-05;0.000340591;3.75949E-05;0.000114155;0;0.387969631;0.123411649;0.35471688;0
222;9.54069E-05;0.000345291;9.39872E-05;0.000114155;0;0.359585916;0.123651476;0.354564178;0
223;0.000113996;0.000294192;0.0001821;0.000114155;0;0.365158923;0.123899573;0.354411476;0
224;0.000136696;0.000231494;0.000158603;0.000114155;0;0.368800691;0.12414767;0.354239687;0
225;0.000147895;0.000217594;0.000146855;0.000114155;0.026322629;0.387770989;0.124404037;0.354096529;0
226;0.000150395;0.000203395;0.000164478;0.000114155;0.131613143;0.34048319;0.124643864;0.353924739;0
227;0.000153295;0.000184595;0.000187974;0.000114155;0.157935772;0.313489968;0.12489196;0.353772037;0
228;0.000155495;0.000170396;0.000206772;0.000114155;0.20180682;0.370069792;0.125148327;0.353600248;0
229;0.000146895;0.000205095;0.000187974;0.000114155;0.20180682;0.44069801;0.125396424;0.353447546;0
230;0.000149895;0.000178095;0.000190324;0.000114155;0.20180682;0.389029054;0.125636251;0.353304388;0
231;0.000147095;0.000190495;0.000213821;0.000114155;0.131613143;0.382595265;0.125884348;0.353132598;0
232;0.000146395;0.000186895;0.00022322;0.000114155;0.052645257;0.348980647;0.126140715;0.352979896;0
233;0.000147695;0.000195395;0.00022322;0.000114155;0;0.253544267;0.126388812;0.352808107;0
234;0.000152495;0.000181895;0.000164478;0.000114155;0;0.19916054;0.126628639;0.352655405;0
235;0.000153895;0.000156096;0.000117484;0.000114155;0;0.244859204;0.126885005;0.352483615;0
236;0.000146895;0.000154496;8.8113E-05;0.000114155;0;0.342480644;0.127133102;0.352330913;0
237;0.000137596;0.000156096;5.8742E-05;0.000114155;0;0.389702229;0.127381199;0.352187755;0
